Transaction_ID,Transaction_Date,Transaction_Amount,Transaction_Status,Transaction_Type,Customer_ID,Customer_Name,Gender,DOB,Email,Phone,Customer_City,Card_ID,Card_Type,Issuer_Bank,Card_Tier,Expiry_Date,Merchant_ID,Merchant_Name,Merchant_Category,Merchant_Country,Location_ID,City,State,Country
T1000,2024-10-30,71630.36,FAIL,pos,C1000,Danielle Taylor,M,1952-01-19,,7117550026,Ahmedabad,Card1000,Debit,Rhodes PLC,Silver,2025-09-07,M1000,Garza Inc,Grocery,Inda,L1000,Lucknow,Telangana,india
T1001,2023-07-15,61890.12,Fraudulent,atm,C1001,Lance Hoffman,M,1950-11-06,lance.hoffman@outlook.com,9086875935,Mumbai,Card1001,Credit,"Santos, Gardner and Robinson",Gold,2027-05-02,M1001,"Ramirez, Booth and Blake",Grocery,India,L1001,Lucknow,West Bengal,india
T1002,2023-10-24,22039.56,Fraudulent,Online,C1002,Christopher Bernard,M,1991-12-25,christopher.bernard@outlook.com,8760652429,Bangalore,Card1002,Debit,Garcia-James,Silver,2029-01-25,M1002,Abbott-Munoz,Travel,India,L1002,Ahmedabad,Uttar Pradesh,Inda
T1003,2025-03-09,16082.2,sucsess,atm,C1003,Valerie Gray,M,1947-06-06,valerie.gray@yahoo.com,8745391478,Lucknow,Card1003,Debit,"Carter, Fuller and Mcclure",Gold,2029-05-19,M1003,Ray-Bush,Retail,Inda,L1003,Mumbai,Punjab,india
T1004,2023-07-27,19971.22,Fraudulent,POS,C1004,Victoria Wyatt,O,1989-06-21,victoria.wyatt@outlook.com,9077975168,Chandigarh,Card1004,Credit,James Group,Gold,2027-05-31,M1004,"Flowers, Martin and Kelly",,india,L1004,Kolkata,Delhi,India
T1005,2024-11-23,92898.46,Failed,onlne,C1005,Carolyn Daniel,F,1962-08-22,carolyn.daniel@gmail.com,9895169156,Lucknow,Card1005,Debit,Ford LLC,Platinum,2026-01-29,M1005,"Watts, Robinson and Nguyen",Grocery,India,L1005,Mumbai,Telangana,India
T1006,2025-02-07,5981.49,Success,Online,C1006,Andrew Stewart,F,1997-04-12,andrew.stewart@yahoo.com,123,Mumbai,Card1006,Credit,Jones-Gentry,Gold,2025-12-12,M1006,"Walter, Edwards and Rios",Grocery,Inda,L1006,Kochi,Kerala,india
T1007,2024-04-24,11015.98,Failed,POS,C1007,Charles Mcgee,O,2004-09-03,charles.mcgee@rediffmail.com,6634806607,Ahmedabad,Card1007,Credit,"Baker, Richards and Hurst",Gold,2029-05-17,M1007,Cox-Osborn,Retail,india,L1007,Chandigarh,Maharashtra,India
T1008,2023-10-07,42358.45,FAIL,onlne,C1008,Anthony Rodriguez,O,1979-02-23,anthony.rodriguez@gmail.com,7142403927,Ahmedabad,Card1008,Credit,"Moore, Becker and Carlson",Silver,2029-09-02,M1008,James-Ferrell,Retail,Inda,L1008,Hyderabad,Karnataka,India
T1009,2024-08-05,65771.58,FAIL,atm,C1009,Alexandra Le,F,1961-07-31,alexandra.le@yahoo.com,6800849550,Kolkata,Card1009,Credit,"Dyer, Potter and Mack",Gold,2030-03-06,M1009,Rodriguez-Graham,Electronics,India,L1009,Kolkata,Gujarat,india
